index,discipline,player_count
GRC,XD,1.0
HRV,XD,2.0
HUN,XD,2.0
IDN,XD,57.0
IND,XD,55.0
IRL,XD,10.0
IRN,XD,0.0
IRQ,XD,0.0
ISL,XD,2.0
ISR,XD,2.5
ITA,XD,3.5
JAM,XD,0.5
JOR,XD,2.0
JPN,XD,27.0
KAZ,XD,0.5
KOR,XD,30.5
LAO,XD,0.0
LKA,XD,1.0
LTU,XD,0.0
LUX,XD,0.0
LVA,XD,1.0
MAR,XD,0.0
MDA,XD,1.0
MDV,XD,1.0
MEX,XD,1.0
MKD,XD,0.0
MLT,XD,2.5
MMR,XD,0.5
MNG,XD,0.0
MUS,XD,0.0
MYS,XD,27.0
NGA,XD,1.0
NLD,XD,7.5
NOR,XD,5.0
NPL,XD,0.0
NZL,XD,13.0
PAK,XD,0.0
PER,XD,5.0
PHL,XD,0.0
POL,XD,21.0
PRT,XD,8.0
PYF,XD,0.0
ROU,XD,0.0
RUS,XD,25.0
SGP,XD,8.0
SRB,XD,0.5
SUR,XD,0.0
SVK,XD,1.5
SVN,XD,3.0
SWE,XD,18.0
SYR,XD,0.0
THA,XD,23.0
TTO,XD,0.5
TUR,XD,13.0
TWN,XD,68.5
UAE,XD,5.0
UGA,XD,0.0
UKR,XD,20.5
USA,XD,26.0
UZB,XD,2.5
VNM,XD,1.0
ZAF,XD,0.5
