index,discipline,Continental,ISIC,Super100,Super300,Super500,Super750,WTFSuper1000
CAN,WD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CHE,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,WD,0.0,0.0,2.0,1.0,0.0,0.0,0.0
CYP,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,WD,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DZA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,WD,0.0,2.0,0.0,0.0,0.0,0.0,0.0
GBR,WD,0.0,2.5,0.0,0.0,0.0,0.0,0.0
GCA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,WD,0.0,1.0,0.0,0.0,2.0,0.0,0.0
IND,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRN,WD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IRQ,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,WD,1.0,5.0,5.0,6.0,4.0,4.0,4.0
KAZ,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,WD,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LAO,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDV,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUS,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,WD,0.0,1.5,0.0,2.0,0.0,0.0,0.0
NGA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYF,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,WD,0.0,3.0,0.0,0.0,0.0,0.0,0.0
SGP,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE,WD,0.0,2.0,0.0,0.0,0.0,0.0,0.0
SYR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA,WD,0.0,1.0,0.0,1.0,0.0,0.0,0.0
TTO,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,WD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TWN,WD,0.0,2.0,0.0,0.0,0.0,0.0,0.0
UAE,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UZB,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
